,precision,recall,f1-score,support
0,0.8803191489361702,0.8873994638069705,0.8838451268357811,373.0
1,0.9244186046511628,0.888268156424581,0.905982905982906,358.0
2,0.8710526315789474,0.8970189701897019,0.8838451268357811,369.0
accuracy,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.8909090909090909
macro avg,0.8919301283887601,0.8908955301404178,0.8912243865514894,1100.0
weighted avg,0.8915630218826721,0.8909090909090909,0.8910499676854817,1100.0
