model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
Multinomial logistic regression,0.8863636363636364,0.0169059951548647,0.88631785769949,0.01689788376919405,0.8885537356226636,0.01664842680116768,0.88631785769949,0.01689788376919405,0.8866177128381255,0.016904424246344217
Gradient boosting,0.8863636363636364,0.01928473039599677,0.8863429711015278,0.01931133177199113,0.8875287563377835,0.01898384468631988,0.8863429711015278,0.01931133177199113,0.8863477675782447,0.01929660590024347
Decision tree,0.8843636363636364,0.020791831941464268,0.8843272951516054,0.020716633267034188,0.8862927980087137,0.021235417870168305,0.8843272951516054,0.020716633267034188,0.8844348682053733,0.020821531730086516
Random forest,0.8787272727272728,0.019450084450304238,0.8785662497535159,0.019439807953490672,0.8822981052673898,0.018498741277285447,0.8785662497535159,0.019439807953490672,0.8790451837805476,0.019300473431315836
Extra Trees,0.8774545454545454,0.01782220115458499,0.8772996432666507,0.01784627280773615,0.8810985483978244,0.0168060122521742,0.8772996432666507,0.01784627280773615,0.8777675093559429,0.01757638814694618
RBF support vector machine,0.8754545454545455,0.017702002190224136,0.8752184108862866,0.01778349022146682,0.8828631381673964,0.015608214848546537,0.8752184108862866,0.01778349022146682,0.8764076475036585,0.01729058282914332
Multilayer perceptron,0.8752727272727273,0.018420778183087808,0.8754363262741808,0.01859605128502467,0.8774066760335048,0.018095712766579175,0.8754363262741808,0.01859605128502467,0.8753411463415018,0.01844153977514299
k-nearest neighbours,0.8645454545454545,0.021838689856666017,0.8651937567897824,0.02177303618759396,0.8702588204299186,0.021236697782483202,0.8651937567897824,0.02177303618759396,0.8648497985631807,0.021740809526608104
