train_size,train_mean,train_std,validation_mean,validation_std
88,1.0,0.0,0.8804068892233868,0.023365694734470963
176,0.9894441072866547,0.00957641997601695,0.8920858989287559,0.012482641982157032
264,0.9681719479419504,0.00941531395828753,0.8894252470562367,0.01686146621304868
352,0.9454499545410796,0.007349272537798077,0.8837678656900252,0.014672835958969151
440,0.9293783746520727,0.025304378095885722,0.88661160489763,0.01878667608924517
528,0.9180558483365295,0.01659545628207097,0.8828426443960586,0.015994047883464223
616,0.9189103950591081,0.012023982136044449,0.8883955073352636,0.020719926268109645
704,0.9116960374137388,0.011704192576461256,0.8830389903547958,0.019729689765406205
792,0.9073012337323334,0.005572670274533196,0.8876756334937543,0.023667254058377357
880,0.9053636583939385,0.008051302934708493,0.8911838710908639,0.02352448882992155
