feature_set,n_features,accuracy_mean,balanced_accuracy_mean,precision_macro_mean,recall_macro_mean,f1_macro_mean,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std
Physiological,4,0.8872727272727272,0.8867730071572634,0.8981523018553697,0.8867730071572634,0.8883691277927942,0.019769679319242263,0.019805560891807152,0.017692796627127937,0.019805560891807152,0.019470522566204046
All features,20,0.8863636363636364,0.88631785769949,0.8885537356226636,0.88631785769949,0.8866177128381255,0.0169059951548647,0.01689788376919405,0.01664842680116768,0.01689788376919405,0.016904424246344217
Environmental,4,0.874909090909091,0.8753759362294958,0.8785706583315778,0.8753759362294958,0.875005118205626,0.020917323807354244,0.020922206592242518,0.020523817874503764,0.020922206592242518,0.020748152340466335
Psychological,4,0.8732727272727273,0.8736233498402899,0.8759954437328165,0.8736233498402899,0.8733470968215927,0.019999999999999993,0.019896199310783822,0.019524362661568557,0.019896199310783822,0.019934981530309048
Social,4,0.8685454545454546,0.868499742768043,0.8712999425156849,0.868499742768043,0.8689676057913812,0.020025809792646093,0.0200816728951903,0.01949873821273505,0.0200816728951903,0.019917408500407865
Academic,4,0.8629090909090908,0.8634455888263336,0.8690363860678083,0.8634455888263336,0.8633917448559483,0.019270440115860182,0.019252530911566066,0.018042152408985903,0.019252530911566066,0.019060625968991222
