feature,importance_mean,importance_std
blood_pressure,0.38713592779944483,0.03199348218251202
social_support,0.07937876720290475,0.026315124530344545
noise_level,0.003856819015769222,0.012315110614135314
mental_health_history,0.0024364294180409594,0.005168437003978442
headache,0.0023219304632810713,0.007326179637597651
study_load,0.0017591945436589663,0.008165198290311466
safety,0.001176928531180831,0.009482344344742976
extracurricular_activities,0.0011636580375187467,0.005876401384514333
teacher_student_relationship,0.0006644290950681841,0.0053568426728338725
future_career_concerns,0.0003033908600417157,0.005155980051755345
self_esteem,0.00017880107692592852,0.012691846072650921
depression,7.179093918145751e-05,0.005411315889331741
basic_needs,-0.00013466945459445268,0.009287319813133493
anxiety_level,-0.0005115896851108514,0.0026869060997770262
academic_performance,-0.0005480870051284936,0.007962938690233652
breathing_problem,-0.001204750455180471,0.0023080620035774092
bullying,-0.0015019813169008722,0.007721794261368981
living_conditions,-0.0018199882947388636,0.005505154395771685
peer_pressure,-0.002713424533905933,0.006185347172742818
sleep_quality,-0.0027597651752480547,0.008562929006003387
