omitted_domain,n_features,accuracy_mean,balanced_accuracy_mean,precision_macro_mean,recall_macro_mean,f1_macro_mean,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std
Academic,16,0.8896363636363637,0.8895695977281545,0.8911713030075592,0.8895695977281545,0.8896700862142407,0.019173702146285953,0.01916446110429489,0.01879969103549527,0.01916446110429489,0.01909727513448811
Psychological,16,0.8867272727272727,0.886669443087695,0.889269641627773,0.886669443087695,0.8870499882877805,0.01919165337402305,0.019174642311954652,0.018635368087525053,0.019174642311954652,0.019095071352578097
Environmental,16,0.8860000000000001,0.8859841757636471,0.8882609196110152,0.8859841757636471,0.8863209878333863,0.016489415588379148,0.01644995052498463,0.01669397195696236,0.01644995052498463,0.016569880888354524
Social,16,0.885090909090909,0.8848103832174833,0.8891033021583131,0.8848103832174833,0.8854693093147881,0.021260226837431985,0.02120524728750083,0.021851531428339725,0.02120524728750083,0.021334922808534842
Physiological,16,0.8738181818181819,0.8739218353603458,0.8748185975722873,0.8739218353603458,0.8738254701646687,0.017470951885332833,0.01750583976783287,0.017203206189377398,0.01750583976783287,0.01744450023481556
